Source;Target;Distance (m)
241;68;209.51001520643007
68;182;24.108710857868424
182;309;207.7792277902486
309;311;249.4841825850135
311;313;193.88261461809995
313;326;601.2866516691172
326;572;183.86099338817965
572;318;165.8760279306291
318;330;379.4906212013386
330;364;270.00990749076504
364;95;379.6000825321774
95;388;296.01356799490094
388;503;1390.667700666711
503;443;665.0704575523981
443;55;290.47104147925717
55;444;258.11429194796096
444;287;396.14655866258863
287;436;168.20413090430773
436;433;252.95793065481956
433;218;235.79966430325462
218;432;179.62042985814915
432;198;369.89712348099044
198;225;260.3060684160669
225;137;315.8562754336814
137;573;394.2382789039328
573;54;269.8122123309271
54;217;23.232304734955594
217;387;264.5422219079772
387;447;189.4678753245466
447;232;193.59239850753661
232;507;677.9636141438273
507;0;562.7905247762944
0;498;60.14355554378625
498;502;662.0652468881227
502;593;265.72495882553164
593;227;351.25383806638257
227;192;446.7282669567965
192;509;446.23796326078053
509;511;225.15702647220903
511;512;171.56337757556597
512;513;302.3911037395527
513;505;308.03440503781223
505;515;246.41248242910257
515;314;321.05392961849975
314;315;102.67180585617193
315;615;237.19104053267424
615;586;180.61769895110808
586;585;163.68967554064582
585;497;173.45251911613758
497;584;174.28271418669485
584;583;212.9764286447044
583;308;26.647878474426197
308;307;366.76560402463286
307;489;273.7347252709141
489;67;161.1463762048086
67;306;24.080259152164082
306;622;312.05323743263824
622;623;171.1232053210702
623;621;227.8280104836549
222;135;406.99730024913583
135;522;59.267522509629856
522;80;182.12467668373893
80;337;341.2246403139845
337;336;249.90574774753753
336;338;267.7450154156722
338;78;272.73947634502184
78;33;242.69350421317662
33;77;150.16273214330363
77;76;323.5851063776483
76;75;300.0847055044168
75;332;210.6408937908521
332;344;250.7367025091154
344;343;328.2653438192008
343;597;208.94516253715892
597;577;299.0221593406447
577;596;299.97455822523847
596;581;398.92753827706434
581;499;410.1494261116811
499;0;1008.0520018043751
0;503;524.5812719552556
419;390;270.74975059925555
390;391;404.3119050048522
391;392;276.68232063786155
