Id;Nombre;Longitud;Latitud
0;Gran Vía 5- Catedral;-3.597943;37.17638
1;Arquitecto García Paredes - Fte 4;-3.58996;37.174288
2;Avda. Federico García Lorca 27;-3.620644;37.202262
3;Avda. Federico García Lorca 15;-3.618758;37.200418
4;Juan Pablo II - Rotonda Casería de Aguirre;-3.619005;37.206589
5;Auditorio Manuel de Falla - Carmen de los Mártires;-3.589211;37.174264
6;Ctra. Murcia - Cármenes de Rolando;-3.596319;37.185415
7;Pedro Temboury 8;-3.613796;37.20171
8;Molinos 38;-3.592121;37.172204
9;Joaquina Eguaras 7;-3.60995;37.201899
10;Joaquina Eguaras 1;-3.608951;37.200412
11;Gran Vía 61 - Padre Suárez;-3.601479;37.182538
12;Gran Vía 32 - Sagrado Corazón;-3.599423;37.179354
13;Juan Pablo II - Fte Estación Autobuses;-3.613139;37.200146
14;Ctra. Murcia - Fte Cármenes de Rolando;-3.597159;37.185264
15;Avda. Constitución 15 - Fuentenueva;-3.605085;37.184285
16;Avda. Constitución 2 - Triunfo;-3.602843;37.183581
17;Casería del Cerro - Centro de Salud Cartuja;-3.608576;37.207663
18;Casería del Cerro 86;-3.608678;37.20749
19;Casería del Cerro - Fte Plaza Rey Badis;-3.605172;37.20768
20;Pedro Machuca 78;-3.608998;37.206988
21;Avda. Argentinita 3;-3.615703;37.195974
22;Gran Vía 29 - Sagrado Corazón;-3.599477;37.179179
23;Joaquina Eguaras 29;-3.614105;37.21036
24;Joaquina Eguaras 60;-3.609283;37.201928
25;Juan Pablo II - Estación Autobuses;-3.613502;37.200009
26;Cerrillo de Maracena;-3.628586;37.205466
27;Casería de Aguirre - Rey Ben Zirí;-3.614642;37.209053
28;Casería de Aguirre Fte 63;-3.612049;37.209722
29;Casería de Aguirre 63;-3.611496;37.210549
30;Pedro Machuca - Fte 33;-3.609798;37.210217
31;Pedro Machuca 33;-3.609962;37.210065
32;Ctra. Murcia - Urbanización Carmen de las Palmas;-3.597729;37.184307
33;Cno. Ronda 118;-3.60853;37.174766
34;Cno. Ronda 87;-3.607369;37.17247
35;Campo del Príncipe 3;-3.592051;37.173284
36;Carril de San Cecilio 2;-3.590868;37.173356
37;Jesús y María 13;-3.595719;37.173826
38;Cuesta de San Antonio 25;-3.598696;37.185876
39;Pagés - Centro Día Mayores Albaicín;-3.59171;37.182805
40;Avda. del Hospicio - Hospital Real;-3.60069;37.184343
41;Plaza Nueva;-3.596113;37.176555
42;Cno. Nuevo del Cementerio 57;-3.585877;37.169761
43;San Miguel Bajo;-3.596886;37.180512
44;Callejón de las Tomasas 19;-3.591602;37.181031
45;Cuesta del Chapiz - Peso de la Harina;-3.588582;37.180977
46;Palacio Emperador Carlos V;-3.588259;37.175029
47;Palencia 6;-3.598911;37.160074
48;Fernando de los Ríos - Parque de las Ciencias;-3.604132;37.16145
49;Ctra. de la Sierra 137;-3.574285;37.163726
50;Ctra. Huétor Vega Fte 20 - Villa Argaz;-3.582722;37.153802
51;Tete Montoliú 6;-3.609193;37.197133
52;Sánchez Cotán 37;-3.604092;37.20608
53;Acera del Darro 8 - Puerta Real;-3.599573;37.172805
54;Andrés Segovia - Hípica;-3.595098;37.160848
55;Cno. de la Zubia 6 - Plaza del Ángel;-3.596741;37.163606
56;Andarax 100;-3.587643;37.188115
57;Casería del Cerro 76;-3.610822;37.206317
58;Plaza San Isidro - Iglesia;-3.603822;37.187025
59;Glorieta Neptuno;-3.609081;37.167273
60;Julio Moreno Dávila - Centro Cívico Norte;-3.600532;37.203198
61;Ctra. Murcia - Haza Grande;-3.59243;37.189967
62;Fernando Gómez de la Cruz - Fte 59;-3.623253;37.198077
63;Doctor Azpitarte 1 - Cáritas;-3.607739;37.18823
64;Ctra. Málaga 125 - Venta Zurita;-3.629868;37.189699
65;Ctra. Málaga 81;-3.626113;37.189193
66;Ctra. Murcia - Pagés - Albaicín;-3.593431;37.184602
67;Cno. Alfacar - Fte INEF;-3.597184;37.204594
68;Julio Moreno Dávila - IES Cartuja;-3.59797;37.203025
69;Cruz del Sur 3 - Villarejo;-3.614875;37.188744
70;Caleta - Juzgados;-3.61027;37.186794
71;Cno. Viejo del Fargue - Fte 63;-3.587877;37.191324
72;Cno. Viejo del Fargue - Fte 63;-3.588022;37.191028
73;Cementerio San José;-3.578602;37.170778
74;Andarax 22;-3.589452;37.188698
75;Cno. Ronda 172;-3.612146;37.180716
76;Cno. Ronda 148;-3.61073;37.178417
77;Cno. Ronda 130 - Méndez Núñez;-3.609236;37.175918
78;Cno. Ronda 100;-3.607404;37.172895
79;Cno. Ronda 71 - Recogidas;-3.606191;37.170544
80;Cno. Ronda 4 - Alcázar Genil;-3.602101;37.164203
81;Olimpia 4;-3.624805;37.200576
82;Olimpia 3;-3.624949;37.200596
83;Hoya de la Mora 3;-3.586047;37.161529
84;Avda. Pulianas 60;-3.604057;37.196889
85;Avda. Maracena 152;-3.62667;37.203658
86;Francisco Ayala 81;-3.619251;37.195054
87;Francisco Ayala 16 - Luis Amador;-3.615402;37.191733
88;Avda. Dílar 94;-3.600803;37.15367
89;Avda. Dílar 109;-3.600779;37.152705
90;Avda. Cervantes 6;-3.589413;37.165578
91;Avda. América 8 - Centro Salud Zaidín;-3.600317;37.161288
92;Avda. Andalucía - Parque Almunia;-3.623968;37.193299
93;Avda. Andalucía - Fte IES Virgen de las Nieves;-3.617514;37.190711
94;Cno. Nuevo del Cementerio 73;-3.583373;37.169174
95;Ancha de Capuchinos 15;-3.603017;37.186082
96;Avda. Santa María Alhambra - Carmen de los Fosos;-3.581849;37.169897
97;Cristo de la Yedra 33;-3.600283;37.187432
98;Guarnón 56 - Polideportivo Bola de Oro;-3.58446;37.163476
99;Guarnón 1;-3.58803;37.164806
100;Avda. Constitución 38 - Estación Ferrocarril;-3.60793;37.186082
101;Doctor Olóriz - Plaza de Toros;-3.607089;37.188549
102;Bda. Bobadilla - Secadero;-3.645782;37.191951
103;Carril de los Coches - Cno. Abadía del Sacromonte;-3.576096;37.18216
104;Cuesta del Realejo 1;-3.593465;37.17372
105;Acera de San Ildefonso 12;-3.599915;37.184106
106;Plaza de Santo Domingo;-3.594812;37.173391
107;Ribera del Beiro 25;-3.607197;37.191891
108;Ribera del Beiro 43;-3.604876;37.193952
109;Ribera del Beiro - Fte 43;-3.604676;37.193857
110;Ribera del Beiro 32;-3.607008;37.191596
111;Cno. Viejo del Fargue - Cruce Abadía;-3.571278;37.196991
112;El Pinar 5;-3.590237;37.189213
113;Cristo de la Yedra 19;-3.601632;37.187035
